FirstDxHistologyGroup,SecondDxHistologyGroup
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
1,14
1,15
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
1,31
1,32
1,33
1,34
1,35
1,36
1,37
1,38
1,39
1,40
1,41
1,42
1,43
2,1
2,2
2,5
2,6
2,7
2,8
2,9
2,10
2,11
2,12
2,13
2,14
2,15
2,19
2,20
2,21
2,22
2,23
2,24
2,25
2,26
2,27
2,28
2,29
2,33
2,34
2,35
3,1
3,2
3,3
3,4
3,5
3,6
3,7
3,8
3,9
3,10
3,11
3,12
3,13
3,14
3,15
3,20
3,21
3,22
3,23
3,24
3,26
3,27
3,28
3,29
3,33
3,34
3,35
4,1
4,4
5,1
5,2
5,5
5,7
5,21
5,25
5,26
5,27
5,30
5,31
6,1
6,2
6,6
6,25
7,1
7,2
7,5
7,7
7,8
7,10
7,20
7,21
7,22
7,23
7,25
7,26
7,27
7,30
7,31
8,1
8,2
8,8
8,24
8,25
8,26
8,28
9,1
9,2
9,9
9,25
10,1
10,2
10,7
10,10
10,25
11,1
11,2
11,11
11,25
11,26
12,1
12,2
12,12
12,20
12,25
12,26
13,1
13,2
13,13
13,14
13,15
13,24
13,25
13,26
13,33
13,34
13,35
14,1
14,2
14,13
14,14
14,24
14,25
14,26
14,33
14,34
15,1
15,2
15,13
15,15
15,24
15,25
15,26
15,33
15,35
16,16
17,17
18,18
19,1
19,2
19,19
20,1
20,2
20,5
20,7
20,16
20,20
20,21
20,22
20,23
21,1
21,2
21,5
21,7
21,20
21,21
21,26
21,27
22,1
22,2
22,20
22,22
22,23
22,26
22,27
23,1
23,2
23,16
23,20
23,22
23,23
24,1
24,2
24,8
24,12
24,13
24,14
24,15
24,24
24,25
24,26
24,28
24,29
24,33
24,34
24,35
24,36
24,37
24,38
24,41
24,42
24,45
24,46
24,48
24,49
24,51
24,52
25,1
25,2
25,5
25,6
25,7
25,8
25,9
25,10
25,11
25,12
25,13
25,14
25,15
25,24
25,25
25,26
25,27
25,28
25,29
25,30
25,31
25,32
25,33
25,34
25,35
25,36
25,37
25,38
25,39
25,40
25,41
25,42
25,43
25,45
25,46
25,50
25,51
25,52
26,1
26,2
26,8
26,10
26,11
26,12
26,13
26,14
26,15
26,20
26,21
26,22
26,24
26,25
26,26
26,27
26,28
26,29
26,30
26,31
26,32
26,33
26,34
26,35
26,40
26,43
27,1
27,2
27,5
27,7
27,20
27,25
27,26
27,27
27,30
27,31
28,1
28,2
28,8
28,24
28,25
28,26
28,28
29,1
29,2
29,25
29,26
29,29
30,5
30,25
30,26
30,27
30,30
30,31
30,32
31,5
31,25
31,26
31,27
31,30
31,31
32,25
32,26
32,29
32,30
32,32
33,1
33,2
33,13
33,14
33,15
33,24
33,25
33,26
33,33
33,34
33,35
34,1
34,2
34,13
34,14
34,24
34,25
34,26
34,33
34,34
35,1
35,2
35,13
35,15
35,24
35,25
35,26
35,33
35,35
36,24
36,25
36,36
36,37
36,38
36,39
36,41
36,42
36,45
36,46
36,47
36,48
36,49
36,51
36,52
37,24
37,25
37,36
37,37
37,38
37,39
37,41
37,42
37,46
37,51
37,52
38,24
38,25
38,36
38,37
38,38
38,39
38,41
38,42
38,45
38,46
38,47
38,48
38,51
38,52
39,24
39,25
39,36
39,37
39,38
39,39
39,41
39,42
39,46
39,51
39,52
40,24
40,25
40,40
41,24
41,25
41,36
41,37
41,38
41,39
41,41
41,42
41,45
41,46
41,48
41,51
41,52
42,24
42,25
42,36
42,37
42,38
42,39
42,41
42,42
42,46
42,51
42,52
43,1
43,2
43,12
43,24
43,25
43,26
43,43
44,24
44,44
44,45
44,46
45,24
45,25
45,36
45,37
45,38
45,39
45,41
45,45
45,46
45,47
45,48
46,24
46,25
46,36
46,37
46,38
46,39
46,41
46,42
46,45
46,46
46,47
46,48
46,51
46,52
47,24
47,36
47,37
47,38
47,39
47,41
47,45
47,46
47,47
47,48
48,24
48,36
48,37
48,38
48,39
48,41
48,45
48,46
48,47
48,48
49,24
49,36
49,37
49,38
49,39
49,41
49,42
49,45
49,46
49,49
50,24
50,25
50,36
50,37
50,38
50,39
50,41
50,42
50,45
50,46
50,50
50,51
50,52
51,24
51,25
51,36
51,37
51,38
51,39
51,41
51,42
51,45
51,46
51,50
51,51
51,52
52,24
52,25
52,36
52,37
52,38
52,39
52,41
52,42
52,45
52,46
52,50
52,51
52,52
